               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  87,            0.017051,            0.014044,           0.0011795,             0.70472,             0.66554,             0.70441,             0.52839,            0.027652,             0.01513,            0.011956,            0.001486,            0.001486,            0.001486
                  88,            0.017459,            0.013614,           0.0011076,             0.71357,             0.67219,             0.69766,             0.51903,             0.02746,            0.014932,            0.011569,            0.001387,            0.001387,            0.001387
                  89,             0.01692,            0.013515,          0.00087824,              0.7678,             0.66041,             0.71537,             0.53747,            0.027528,            0.015095,            0.011439,            0.001288,            0.001288,            0.001288
                  90,            0.017164,            0.013788,          0.00084882,               0.805,             0.62273,             0.71392,             0.54357,            0.027735,            0.015239,            0.012106,            0.001189,            0.001189,            0.001189
                  91,             0.01733,            0.013396,           0.0009511,             0.78581,             0.64436,             0.72769,             0.54152,            0.027602,            0.015109,            0.012039,             0.00109,             0.00109,             0.00109
                  92,            0.017167,            0.013799,           0.0011082,             0.69928,             0.70899,             0.71347,             0.54692,            0.027756,            0.015258,            0.011057,            0.000991,            0.000991,            0.000991
                  93,            0.016489,            0.013512,           0.0010284,             0.74826,             0.66915,             0.72211,             0.54313,            0.027704,            0.015081,            0.011508,            0.000892,            0.000892,            0.000892
                  94,            0.016821,            0.013629,          0.00071299,             0.74718,               0.675,             0.72185,             0.54315,            0.027502,            0.015144,            0.011043,            0.000793,            0.000793,            0.000793
                  95,            0.016914,            0.013712,          0.00085484,             0.75227,             0.69245,             0.73649,             0.55187,            0.027419,            0.015198,            0.010613,            0.000694,            0.000694,            0.000694
                  96,            0.016548,            0.013292,          0.00091271,             0.81071,             0.66655,             0.72866,              0.5388,            0.027422,            0.015152,            0.010904,            0.000595,            0.000595,            0.000595
                  97,            0.016735,            0.013211,          0.00090436,             0.80495,             0.66716,             0.73293,             0.54541,            0.027415,            0.015294,            0.010865,            0.000496,            0.000496,            0.000496
                  98,            0.016482,            0.013123,          0.00086218,              0.7278,             0.69395,             0.73265,             0.54861,            0.027337,             0.01511,            0.010856,            0.000397,            0.000397,            0.000397
                  99,            0.016524,            0.013196,          0.00072051,             0.74502,              0.7094,             0.73775,             0.55644,            0.027479,            0.015189,            0.010762,            0.000298,            0.000298,            0.000298
